,Date,Open,High,Low,Close*,Adj Close**,Volume
4496,"Jun 02, 2003",89.00,89.08,87.25,87.33,55.80,7697200
4497,"May 30, 2003",87.45,88.68,87.45,88.04,56.25,6184200
4498,"May 29, 2003",87.57,88.59,87.20,87.36,55.82,6898900
4499,"May 28, 2003",87.60,88.70,87.40,87.57,55.95,6539900
4500,"May 27, 2003",84.51,87.90,84.51,87.69,56.03,7163400
4501,"May 23, 2003",85.75,85.95,85.10,85.26,54.48,5187200
4502,"May 22, 2003",86.25,86.80,85.80,86.08,55.00,6277300
4503,"May 21, 2003",85.77,86.18,85.08,86.18,55.06,6741000
4504,"May 20, 2003",86.58,87.24,84.89,85.77,54.80,7331900
4505,"May 19, 2003",88.05,88.47,86.41,86.45,55.24,7298400
4506,"May 16, 2003",89.67,89.89,88.95,88.99,56.86,6831600
4507,"May 15, 2003",89.50,89.96,89.00,89.90,57.44,7102900
4508,"May 14, 2003",90.00,90.40,88.30,88.70,56.68,7752200
4509,"May 13, 2003",88.78,90.10,88.56,89.98,57.49,8668300
4510,"May 12, 2003",87.55,89.26,87.10,89.00,56.87,8445700
4511,"May 09, 2003",86.90,87.70,86.40,87.55,55.94,6222600
4512,"May 08, 2003",86.37,86.78,85.75,86.05,54.98,7188200
4513,"May 07, 2003",86.95,87.81,86.50,86.68,55.38,6754600
4514,"May 07, 2003",0.16 Dividend,0.16 Dividend,0.16 Dividend,0.16 Dividend,0.16 Dividend,0.16 Dividend
4515,"May 06, 2003",86.30,88.34,86.00,87.51,55.81,7459600
4516,"May 05, 2003",87.20,88.00,86.52,86.52,55.18,7632500
4517,"May 02, 2003",84.45,87.57,84.45,87.57,55.85,8381900
4518,"May 01, 2003",85.30,86.23,84.47,85.89,54.78,7485700
4519,"Apr 30, 2003",85.66,85.67,84.68,84.90,54.15,8444900
4520,"Apr 29, 2003",85.34,86.49,84.97,85.66,54.63,8682900
4521,"Apr 28, 2003",84.05,85.50,83.62,85.12,54.29,6363600
4522,"Apr 25, 2003",85.21,85.28,83.86,83.88,53.50,6790700
4523,"Apr 24, 2003",84.65,85.70,84.63,85.20,54.34,5943500
4524,"Apr 23, 2003",85.24,85.97,84.96,85.75,54.69,7084500
4525,"Apr 22, 2003",83.36,86.06,82.60,85.63,54.61,9542600
4526,"Apr 21, 2003",84.40,84.51,83.10,83.36,53.17,6703400
4527,"Apr 17, 2003",81.89,84.40,81.89,84.26,53.74,8802100
4528,"Apr 16, 2003",83.38,84.40,82.74,82.88,52.86,10790700
4529,"Apr 15, 2003",80.07,82.85,79.71,82.79,52.80,13613500
4530,"Apr 14, 2003",78.50,80.07,78.16,80.07,51.07,9006000
4531,"Apr 11, 2003",80.10,81.29,78.45,78.75,50.23,7573500
4532,"Apr 10, 2003",79.10,79.25,78.13,79.01,50.39,6880100
4533,"Apr 09, 2003",79.70,80.74,78.63,78.71,50.20,8543200
4534,"Apr 08, 2003",80.62,80.70,78.47,80.07,51.07,8057600
4535,"Apr 07, 2003",82.60,82.90,80.25,80.47,51.32,8881400
4536,"Apr 04, 2003",82.35,82.55,80.04,80.79,51.53,8985000
4537,"Apr 03, 2003",82.32,83.48,81.71,81.91,52.24,9623600
4538,"Apr 02, 2003",79.90,81.97,79.90,81.46,51.95,9700100
4539,"Apr 01, 2003",78.50,79.56,78.12,78.73,50.21,7861400
4540,"Mar 31, 2003",79.26,79.61,78.31,78.43,50.02,10169200
4541,"Mar 28, 2003",81.05,81.99,80.50,80.85,51.56,6649200
4542,"Mar 27, 2003",80.75,82.33,80.51,81.45,51.95,7265800
4543,"Mar 26, 2003",83.00,83.25,81.18,81.55,52.01,10531600
4544,"Mar 25, 2003",82.00,84.00,81.74,83.45,53.22,8777100
4545,"Mar 24, 2003",82.46,83.35,82.23,82.25,52.46,9352600
4546,"Mar 21, 2003",82.76,84.90,82.76,84.90,54.15,12625400
4547,"Mar 20, 2003",81.71,82.49,80.64,82.20,52.43,9046400
4548,"Mar 19, 2003",82.09,82.50,81.08,82.00,52.30,10473100
4549,"Mar 18, 2003",82.46,83.50,81.49,82.47,52.60,10795400
4550,"Mar 17, 2003",78.00,82.67,77.84,82.46,52.59,15193000
4551,"Mar 14, 2003",78.45,79.48,78.11,79.00,50.38,10117700
4552,"Mar 13, 2003",75.99,78.68,75.31,78.45,50.03,10452500
4553,"Mar 12, 2003",75.25,75.63,73.17,75.18,47.95,12773700
4554,"Mar 11, 2003",75.82,76.33,75.20,75.35,48.06,8119200
4555,"Mar 10, 2003",77.45,77.45,75.50,75.70,48.28,6641300
4556,"Mar 07, 2003",75.71,77.99,75.71,77.90,49.68,8129200
4557,"Mar 06, 2003",77.00,77.78,76.70,77.07,49.15,5876300
4558,"Mar 05, 2003",76.70,77.73,76.25,77.73,49.57,6658000
4559,"Mar 04, 2003",77.60,77.75,76.53,76.70,48.92,5672200
4560,"Mar 03, 2003",78.90,79.00,77.12,77.33,49.32,6618300
4561,"Feb 28, 2003",77.00,78.47,77.00,77.95,49.72,6585200
4562,"Feb 27, 2003",77.90,78.59,76.75,77.28,49.29,9926500
4563,"Feb 26, 2003",78.45,79.05,77.30,77.40,49.36,8587000
4564,"Feb 25, 2003",77.90,79.37,76.90,79.07,50.43,7675900
4565,"Feb 24, 2003",79.70,79.99,78.56,78.56,50.10,6874700
4566,"Feb 21, 2003",79.49,80.00,78.16,79.95,50.99,7453900
4567,"Feb 20, 2003",79.57,80.05,78.71,79.15,50.48,6285100
4568,"Feb 19, 2003",79.08,79.70,78.82,79.51,50.71,5440300
4569,"Feb 18, 2003",78.02,79.50,77.91,79.33,50.60,7791200
4570,"Feb 14, 2003",76.40,77.45,75.35,77.45,49.40,8299500
4571,"Feb 13, 2003",76.10,76.35,74.31,75.86,48.38,11218400
4572,"Feb 12, 2003",77.50,78.09,76.50,76.50,48.79,5609200
4573,"Feb 11, 2003",78.30,78.97,77.31,77.39,49.36,8598200
4574,"Feb 10, 2003",77.10,78.02,76.45,77.91,49.69,7949100
4575,"Feb 07, 2003",77.97,78.15,76.61,77.10,49.17,8296400
4576,"Feb 06, 2003",77.11,78.20,76.51,77.51,49.43,7755200
4577,"Feb 06, 2003",0.15 Dividend,0.15 Dividend,0.15 Dividend,0.15 Dividend,0.15 Dividend,0.15 Dividend
4578,"Feb 05, 2003",77.85,78.90,76.87,77.26,49.18,7427200
4579,"Feb 04, 2003",78.18,78.18,76.25,77.09,49.07,7216200
4580,"Feb 03, 2003",78.20,78.87,77.75,78.18,49.77,6683500
4581,"Jan 31, 2003",77.70,78.34,77.02,78.20,49.78,9744100
4582,"Jan 30, 2003",81.30,81.30,78.30,78.30,49.84,7349500
4583,"Jan 29, 2003",79.50,80.70,78.57,80.32,51.13,7755000
4584,"Jan 28, 2003",78.50,80.47,78.36,80.11,50.99,8017400
4585,"Jan 27, 2003",77.99,79.50,77.61,78.42,49.92,9307800
4586,"Jan 24, 2003",80.60,81.50,78.82,78.99,50.28,7748000
4587,"Jan 23, 2003",80.15,81.36,79.80,81.05,51.59,8371400
4588,"Jan 22, 2003",80.00,80.77,79.39,79.70,50.73,9432400
4589,"Jan 21, 2003",81.30,81.85,80.50,80.54,51.27,8926900
4590,"Jan 17, 2003",83.74,83.74,81.18,81.30,51.75,17331200
4591,"Jan 16, 2003",87.40,87.71,85.38,86.05,54.77,9904300
4592,"Jan 15, 2003",88.58,88.65,86.95,87.59,55.76,8146600
4593,"Jan 14, 2003",87.23,88.59,87.22,88.58,56.39,7569100
4594,"Jan 13, 2003",88.31,88.95,87.35,87.51,55.70,10499000
4595,"Jan 10, 2003",85.85,88.04,85.70,87.68,55.81,9955400
4596,"Jan 09, 2003",84.75,87.02,84.75,87.00,55.38,10711600
4597,"Jan 08, 2003",85.55,85.69,84.07,84.19,53.59,9508800
4598,"Jan 07, 2003",83.95,86.18,83.75,86.00,54.74,11906900
4599,"Jan 06, 2003",81.90,84.80,81.81,83.59,53.21,7921300
4600,"Jan 03, 2003",80.70,81.65,80.21,81.65,51.97,5962300
4601,"Jan 02, 2003",78.80,80.57,78.19,80.57,51.29,7864500
4602,"Dec 31, 2002",77.10,78.46,77.10,77.50,49.33,7871400
4603,"Dec 30, 2002",77.00,77.43,75.60,76.25,48.54,8066600
4604,"Dec 27, 2002",78.50,79.18,76.61,77.36,49.24,6334100
4605,"Dec 26, 2002",79.81,80.70,78.26,78.50,49.97,5784300
4606,"Dec 24, 2002",80.20,81.00,79.76,79.76,50.77,2420200
4607,"Dec 23, 2002",79.75,81.50,79.44,80.26,51.09,5922200
4608,"Dec 20, 2002",79.40,80.00,78.88,79.79,50.79,8053800
4609,"Dec 19, 2002",78.60,80.34,78.35,78.66,50.07,7319900
4610,"Dec 18, 2002",79.25,79.69,78.24,79.13,50.37,6514900
4611,"Dec 17, 2002",80.60,81.77,80.03,80.31,51.12,6167100
4612,"Dec 16, 2002",79.60,81.79,79.05,81.62,51.95,8483500
4613,"Dec 13, 2002",79.25,80.00,78.27,80.00,50.92,7773800
4614,"Dec 12, 2002",81.25,81.69,79.70,80.17,51.03,7208700
4615,"Dec 11, 2002",80.80,82.48,79.99,81.44,51.84,6661000
4616,"Dec 10, 2002",78.60,81.00,78.60,80.80,51.43,6869800
4617,"Dec 09, 2002",81.00,81.33,79.50,79.59,50.66,8841900
4618,"Dec 06, 2002",81.50,82.75,81.07,82.32,52.40,7594800
4619,"Dec 05, 2002",84.90,84.98,82.60,83.06,52.87,6900000
4620,"Dec 04, 2002",83.41,84.86,82.82,83.69,53.27,10053500
4621,"Dec 03, 2002",86.72,87.03,85.15,85.21,54.24,7027800
4622,"Dec 02, 2002",88.60,89.46,86.30,87.30,55.57,9694200
4623,"Nov 29, 2002",87.71,88.05,86.76,86.92,55.33,2980700
4624,"Nov 27, 2002",85.90,88.11,85.85,87.70,55.83,8209800
4625,"Nov 26, 2002",86.15,86.15,84.39,85.06,54.14,8560800
4626,"Nov 25, 2002",84.63,86.25,83.52,86.20,54.87,8651200
4627,"Nov 22, 2002",83.95,85.17,83.80,84.43,53.74,9053300
4628,"Nov 21, 2002",82.05,84.92,82.05,84.90,54.04,12737200
4629,"Nov 20, 2002",77.95,81.71,77.90,81.61,51.95,9070900
4630,"Nov 19, 2002",78.24,79.45,77.84,78.37,49.89,6918400
4631,"Nov 18, 2002",80.80,80.99,79.08,79.18,50.40,7321300
4632,"Nov 15, 2002",80.38,80.40,79.01,80.01,50.93,11367800
4633,"Nov 14, 2002",80.38,80.99,79.40,80.72,51.38,9662800
4634,"Nov 13, 2002",79.50,80.33,77.98,79.35,50.51,11984700
4635,"Nov 12, 2002",77.50,79.90,77.30,79.15,50.38,9027700
4636,"Nov 11, 2002",77.59,78.36,76.70,77.29,49.20,7386400
4637,"Nov 08, 2002",78.50,79.29,77.20,77.59,49.39,8119600
